date,temp
01-01-1980,4.16
02-01-1980,4.06
03-01-1980,7.12
04-01-1980,9.23
05-01-1980,3.2
06-01-1980,7.01
07-01-1980,3.21
08-01-1980,2.03
09-01-1980,4.49
10-01-1980,5.94
11-01-1980,1.55
12-01-1980,1.76
13-01-1980,1.67
14-01-1980,0.44
15-01-1980,2.97
16-01-1980,3.78
17-01-1980,4.19
18-01-1980,2.87
19-01-1980,3.38
20-01-1980,4.23
21-01-1980,2.82
22-01-1980,2.14
23-01-1980,4.1
24-01-1980,3.85
25-01-1980,3.93
26-01-1980,5.51
27-01-1980,7.68
28-01-1980,10.83
29-01-1980,7.92
30-01-1980,6.87
31-01-1980,5.11
01-02-1980,3.55
02-02-1980,4.77
03-02-1980,4.86
04-02-1980,5.26
05-02-1980,2.4
06-02-1980,0.68
07-02-1980,1.41
08-02-1980,2.13
09-02-1980,2.57
10-02-1980,3.54
11-02-1980,2.58
12-02-1980,5.1
13-02-1980,3.1
14-02-1980,2.66
15-02-1980,3.75
16-02-1980,2.05
17-02-1980,2.51
18-02-1980,5.22
19-02-1980,2.23
20-02-1980,4.27
21-02-1980,2.39
22-02-1980,2.8
23-02-1980,4.49
24-02-1980,5.89
25-02-1980,4.77
26-02-1980,5.21
27-02-1980,6.1
28-02-1980,0.99
29-02-1980,6.05
01-03-1980,6.34
02-03-1980,5.68
03-03-1980,4.6
04-03-1980,7.5
05-03-1980,4.37
06-03-1980,4.39
07-03-1980,5.52
08-03-1980,5.85
09-03-1980,6.52
10-03-1980,8.52
11-03-1980,3.16
12-03-1980,4.71
13-03-1980,7.73
14-03-1980,6.21
15-03-1980,6.48
16-03-1980,6.91
17-03-1980,8.76
18-03-1980,6.14
19-03-1980,4.79
20-03-1980,10.59
21-03-1980,7.54
22-03-1980,1.96
23-03-1980,4.69
24-03-1980,2.75
25-03-1980,6.56
26-03-1980,8.61
27-03-1980,9.46
28-03-1980,11.2
29-03-1980,14.14
30-03-1980,14.51
31-03-1980,14.77
01-04-1980,11.95
02-04-1980,9.42
03-04-1980,7.82
04-04-1980,12.28
05-04-1980,17.32
06-04-1980,17.57
07-04-1980,10.98
08-04-1980,12.99
09-04-1980,13.79
10-04-1980,9.33
11-04-1980,13.12
12-04-1980,16.83
13-04-1980,16.12
14-04-1980,13.59
15-04-1980,8.78
16-04-1980,9.5
17-04-1980,8.73
18-04-1980,11.79
19-04-1980,16.21
20-04-1980,17.65
21-04-1980,14.18
22-04-1980,14.38
23-04-1980,13.55
24-04-1980,12.36
25-04-1980,11.06
26-04-1980,12.64
27-04-1980,15.04
28-04-1980,16.73
29-04-1980,15.08
30-04-1980,14.46
01-05-1980,13.39
02-05-1980,15.1
03-05-1980,17.95
04-05-1980,19.52
05-05-1980,17.81
06-05-1980,15.67
07-05-1980,14.61
08-05-1980,16.72
09-05-1980,16.43
10-05-1980,16.89
11-05-1980,19.93
12-05-1980,20.88
13-05-1980,18.91
14-05-1980,21
15-05-1980,20.38
16-05-1980,13.2
17-05-1980,15.37
18-05-1980,14.21
19-05-1980,18.08
20-05-1980,20.15
21-05-1980,20.18
22-05-1980,20.35
23-05-1980,21.17
24-05-1980,21.08
25-05-1980,20.92
26-05-1980,21.82
27-05-1980,19.73
28-05-1980,20.73
29-05-1980,22.51
30-05-1980,21.46
31-05-1980,20.77
01-06-1980,21.92
02-06-1980,21.86
03-06-1980,22.61
04-06-1980,21.16
05-06-1980,22.2
06-06-1980,22.25
07-06-1980,23.65
08-06-1980,22.98
09-06-1980,23.09
10-06-1980,23.48
11-06-1980,22.02
12-06-1980,23.03
13-06-1980,23.47
14-06-1980,24.71
15-06-1980,23.97
16-06-1980,25.16
17-06-1980,25.56
18-06-1980,24.54
19-06-1980,21.16
20-06-1980,19.8
21-06-1980,20.12
22-06-1980,23.04
23-06-1980,23.62
24-06-1980,24.41
25-06-1980,24.89
26-06-1980,24.14
27-06-1980,24.76
28-06-1980,23.58
29-06-1980,19.96
30-06-1980,20.41
01-07-1980,20.04
02-07-1980,18.78
03-07-1980,22.54
04-07-1980,23.97
05-07-1980,23.67
06-07-1980,25.72
07-07-1980,25.19
08-07-1980,23.9
09-07-1980,22.01
10-07-1980,23.86
11-07-1980,22.81
12-07-1980,23.65
13-07-1980,23.5
14-07-1980,24.55
15-07-1980,25.08
16-07-1980,21.36
17-07-1980,21.61
18-07-1980,22.46
19-07-1980,25.14
20-07-1980,26.15
21-07-1980,26.37
22-07-1980,26.65
23-07-1980,27.19
24-07-1980,25.79
25-07-1980,25.83
26-07-1980,24.87
27-07-1980,22.77
28-07-1980,23.7
29-07-1980,23.41
30-07-1980,24.01
31-07-1980,24.21
01-08-1980,21.41
02-08-1980,20.8
03-08-1980,20.52
04-08-1980,21.38
05-08-1980,21.94
06-08-1980,21.48
07-08-1980,21.92
08-08-1980,21.33
09-08-1980,21.81
10-08-1980,23.11
11-08-1980,24.39
12-08-1980,24.86
13-08-1980,26.27
14-08-1980,26.86
15-08-1980,26.07
16-08-1980,23.04
17-08-1980,24.52
18-08-1980,24.92
19-08-1980,25.69
20-08-1980,24.35
21-08-1980,25.1
22-08-1980,24.18
23-08-1980,25.27
24-08-1980,26.14
25-08-1980,23.41
26-08-1980,20.89
27-08-1980,21.64
28-08-1980,24.48
29-08-1980,24
30-08-1980,24.81
31-08-1980,24.25
01-09-1980,24.46
02-09-1980,23.46
03-09-1980,24.06
04-09-1980,25.32
05-09-1980,25.84
06-09-1980,25.77
07-09-1980,25.92
08-09-1980,22.14
09-09-1980,22.1
10-09-1980,24.38
11-09-1980,27.67
12-09-1980,26.34
13-09-1980,24.85
14-09-1980,24.59
15-09-1980,24.85
16-09-1980,24.43
17-09-1980,24.83
18-09-1980,21.89
19-09-1980,21.02
20-09-1980,21.52
21-09-1980,22.44
22-09-1980,22.33
23-09-1980,18.82
24-09-1980,18.45
25-09-1980,17.63
26-09-1980,16.85
27-09-1980,15.2
28-09-1980,17.32
29-09-1980,17.75
30-09-1980,19.54
01-10-1980,18.74
02-10-1980,17.61
03-10-1980,17.11
04-10-1980,18.26
05-10-1980,19.72
06-10-1980,21.73
07-10-1980,21.18
08-10-1980,21.77
